word,ranking
elle,1.0
dans,0.9181316420079916
vous,0.875008391441022
était,0.6320769035436691
pour,0.6261503571105422
avait,0.5391084933058191
plus,0.5289862263616755
bien,0.5082148559153092
mais,0.47764520111730213
tout,0.423322660393274
comme,0.3596469465370347
nous,0.2577617181001194
leur,0.2306070149528182
encore,0.21951134085011864
quand,0.2186444685080164
sans,0.2140211493501376
même,0.20519919091914737
deux,0.20472927022191348
aussi,0.20267300232625338
tous,0.1982058369404368
faire,0.19604157484727577
princesse,0.1846306744383572
être,0.16870298968801353
petit,0.1601262072729714
père,0.15756207477284734
fait,0.15054974884052175
autre,0.14938808152686284
fille,0.1479126472880322
grand,0.14612928364821912
alors,0.1454871559874026
jour,0.1451412826791901
votre,0.14430797610117596
donc,0.14367752348873797
puis,0.13970216951586492
répondit,0.13872000607102516
femme,0.13367784455256837
cela,0.13177918981001777
mère,0.13116041224595826
homme,0.1310830650504508
étaient,0.1299111820694607
fois,0.12928948574330654
après,0.12924862307398186
château,0.12723759599078838
jamais,0.12677935034193297
trois,0.12652979618284294
avoir,0.12471286677894171
jeune,0.12111403311627472
voir,0.11815732711442423
prince,0.11399371298644818
temps,0.1124672004109617
toute,0.11047222651928863
leurs,0.10639909401624582
enfant,0.10584161045617332
petite,0.10514402631555904
tête,0.10501706016444305
jusqu,0.1046376210921424
beau,0.10371675165128966
dont,0.10268350986979402
pauvre,0.10259594700695542
suis,0.10164443056410916
demanda,0.10024050599659673
fils,0.09985668878115414
sous,0.09696273616433798
elles,0.09596160076588317
toutes,0.09508159399435512
aussitôt,0.0942657999889087
nuit,0.09281079708474042
maison,0.09278306884484153
terre,0.09102743344492734
toujours,0.08920174775474225
écria,0.08831882222111957
dire,0.0877496636126686
quelque,0.08644789571846788
porte,0.0860509440735995
faut,0.08584079320278683
comment,0.08547302917886467
monde,0.08449670325821412
belle,0.08345616457148194
bois,0.083221204222865
autres,0.08197635218950938
main,0.08147140634714005
devant,0.08142324677257881
celui,0.08051843052324648
avaient,0.0797639305217871
cheval,0.07913055914725446
peut,0.07853659106099921
yeux,0.07847675643805949
vers,0.07773247210393128
vieille,0.07737054560419834
chambre,0.07646135121172408
voilà,0.07625411910300603
avez,0.07601623999229447
ainsi,0.07580317035938718
argent,0.07567620420827119
vieux,0.07538432799880915
prit,0.07528800884968667
bonne,0.07454226513451115
lendemain,0.0744488647474833
sont,0.0742927109754211
grande,0.07384614037494418
aller,0.07269760749071104
veux,0.07248745661989837
chez,0.07232838408574156
moment,0.0722481181281395
matin,0.07210072064236116
palais,0.06984013940007763
fort,0.06753577672637481
soleil,0.06752847982113826
tant,0.06743070129096848
coup,0.06611433958629466
très,0.06547075254443085
sœur,0.06263663455055442
personne,0.06222508909521294
peine,0.06175516839797905
maître,0.06145453590223315
chose,0.06110282506983138
jours,0.061059043638412074
pendant,0.06101380282594546
enfants,0.059828785415529565
point,0.05979667903248874
frère,0.059777707078873706
reine,0.059407024292856915
près,0.059210007851470035
notre,0.058618958527309396
alla,0.058531395664470784
loin,0.05836064808193549
avant,0.0578907273847016
route,0.05733908134881834
déjà,0.05678597593188777
voix,0.056625444016683645
arriva,0.055504639372349396
côté,0.055409779604274234
celle,0.05532659488457755
cœur,0.05481581151801898
pouvait,0.0546333888871052
dieu,0.05402482699037684
sais,0.05381321673851686
trouva,0.053724194494630936
trop,0.05363809101283963
beaucoup,0.05328346141834325
cour,0.052960938206887694
mort,0.05292153491861032
dessus,0.052226869540090655
seigneur,0.05215390048772515
depuis,0.051472369538631275
table,0.051234490427919714
heure,0.05036907746686475
vite,0.04999255715665872
trouver,0.0498612128624008
chat,0.049491989457431315
vint,0.04946717997962704
prendre,0.04925411034671975
voici,0.04920595077215851
quelques,0.048676195451984906
bout,0.048286540712353075
bientôt,0.04741529022710888
présent,0.0471905455458231
assez,0.04670165289497418
bras,0.04650025831044537
faisait,0.04620254457679409
soir,0.046044931423684585
longtemps,0.04600990627854914
enfin,0.045418856954388506
chercher,0.04510946817235874
chaque,0.04483802329755904
vais,0.044553443993333545
seul,0.044474637416778796
mari,0.04440604650755522
passer,0.044322861787858533
sera,0.04391277571356436
aurait,0.04335967029663379
milieu,0.04306633470612444
quel,0.04303714708517824
allait,0.04270732696848613
oiseau,0.04251614805128849
moins,0.042491338573484215
pourquoi,0.04203455230567612
disait,0.04183461710219462
manger,0.0416886789974636
donna,0.041428909171042375
quoi,0.04139826216904886
venir,0.041299024257831767
êtes,0.04097941980847083
autour,0.04089915385086877
frères,0.040189894661876
parler,0.04017676023245021
pied,0.03996952812373216
entre,0.03983672444842693
mieux,0.03975791787187218
contre,0.039719973964642115
tour,0.03968348943845936
ville,0.03953025442849179
donner,0.03952149814220793
soit,0.03937410065642959
pays,0.03913768092676534
petits,0.03848533759861768
quatre,0.0384605281208134
seule,0.03785634436722697
instant,0.037681218641549746
page,0.03734118285752647
rights,0.03732367028495874
reprit,0.03728280761563406
sorte,0.036866884017150645
garçon,0.03685812773086679
mains,0.036780780535359346
reserved,0.03635901941268669
pourtant,0.03635610065059207
voyant,0.03634880374535552
vieillard,0.03634880374535552
entra,0.03613719349349554
under,0.03590077376383129
nouveau,0.03552717221571987
gens,0.03545858130649629
arbre,0.03542355616136084
corps,0.03540750296984043
lieu,0.03513459871399342
auprès,0.035052873375344046
haut,0.035045576470107496
effet,0.03496968865564737
abord,0.03496676989355275
premier,0.03486461322024103
serait,0.034825209931963655
coucher,0.034485174147940376
forêt,0.034467661575372656
seulement,0.034431177049189896
furent,0.034359667377871696
pieds,0.03424437627513419
