word,count
soin,11433
huit,11424
sommes,11424
resta,11394
dernier,11311
attention,11282
trouvé,11264
secours,11217
voudrais,11216
pauvres,11190
pouvez,11163
livre,11162
village,11156
paris,11151
envie,11144
contes,11141
lumière,11118
morceau,11114
animaux,11099
parole,11086
nouvelle,11068
épée,11026
juste,11019
maman,10972
visage,10938
malheureux,10938
longue,10890
valet,10852
pratham,10847
serviette,10794
tira,10793
ferme,10778
book,10760
sentit,10754
parla,10750
parut,10732
dois,10720
crois,10706
courir,10704
étonné,10673
cuisine,10667
voulu,10666
regard,10653
animal,10651
prends,10650
aurez,10560
aurais,10558
aura,10554
couronne,10529
france,10521
croire,10426
raconta,10423
raison,10415
pourrait,10402
quant,10395
malade,10366
mauvais,10327
habits,10325
faisant,10315
semblait,10302
boire,10291
attendait,10284
hors,10213
jouer,10212
héros,10205
église,10203
magnifique,10167
malheur,10162
savez,10114
seconde,10104
pommes,10094
livres,10072
parmi,10056
royaume,10027
souper,9997
firent,9990
étonnement,9986
neuf,9942
courage,9928
affaire,9924
attendre,9893
auras,9883
façon,9833
dirent,9809
prie,9799
recherche,9777
mêmes,9750
regardait,9747
boule,9727
maîtresse,9720
surtout,9684
perdre,9684
demi,9672
bossu,9669
doucement,9638
pitié,9634
barbe,9596
ailes,9567
appela,9565
neige,9564
poche,9545
bêtes,9527
envoya,9520
terrible,9510
demoiselle,9510
oreille,9495
paraissait,9469
joli,9427
portait,9411
ordinaire,9410
venue,9400
rentra,9382
aide,9364
pleine,9359
poisson,9345
chef,9334
pièces,9317
étranger,9289
fleur,9265
baguette,9258
finit,9208
porter,9163
quelqu,9145
rosette,9144
répliqua,9098
regarder,9092
chasse,9090
ordre,9089
docteur,9057
saisit,9054
appelait,9038
dragon,9028
approcha,9008
telle,9006
haute,8991
tiens,8980
marche,8977
servante,8965
aime,8964
tandis,8931
restait,8922
meunier,8921
plutôt,8915
habitude,8897
tenir,8845
clef,8832
monter,8822
puisse,8810
pareil,8809
ouvrir,8808
journée,8803
sens,8798
surprise,8741
merci,8715
têtes,8709
herbe,8687
doigt,8684
montre,8683
pleurer,8667
vivre,8649
rocher,8633
veille,8616
bonjour,8608
frappa,8569
pierres,8563
sauta,8553
honneur,8530
laisse,8530
noces,8518
ailleurs,8501
suivit,8497
faisaient,8462
propre,8459
géants,8454
tuer,8451
heureuse,8447
ceci,8420
importe,8420
fanch,8418
facilement,8417
devoir,8411
sait,8402
branches,8382
disparut,8379
fini,8344
rencontra,8340
mangé,8333
faudra,8317
mesure,8317
children,8294
cage,8284
empêcher,8261
épaules,8256
passe,8219
princes,8171
lieues,8170
princesses,8153
sort,8143
appelle,8140
